id,name,title,parent_category_id,created_at,updated_at
1,link,Link,,2019-06-18 11:02:21.571547,2019-06-18 11:02:21.571547
2,netbest,NetBest,1,2019-06-18 11:02:21.584547,2019-06-18 11:02:21.584547
3,sitefile,Site File,1,2019-06-18 11:02:21.593557,2019-06-18 11:02:21.593557
4,bin,Binary File,3,2019-06-18 11:02:21.603549,2019-06-18 11:02:21.603549
5,gfx,Graphics File,3,2019-06-18 11:02:21.613550,2019-06-18 11:02:21.613550
6,mus,Music File,3,2019-06-18 11:02:21.622550,2019-06-18 11:02:21.622550
7,url,Site Link,3,2019-06-18 11:02:21.632035,2019-06-18 11:02:21.632035
8,ym,Atari Chip Music,6,2019-06-18 11:02:21.643033,2019-06-18 11:02:21.643033
9,mod,Soundtracker Module,6,2019-06-18 11:02:21.652031,2019-06-18 11:02:21.652031
10,person,Person,,2019-06-18 11:02:21.662035,2019-06-18 11:02:21.662035
11,member,Member,10,2019-06-18 11:02:21.671032,2019-06-18 11:02:21.671032
12,coder,Coder,11,2019-06-18 11:02:21.680696,2019-06-18 11:02:21.680696
13,gfx_artist,Graphics Artists,11,2019-06-18 11:02:21.691659,2019-06-18 11:02:21.691659
14,musician,Musician,11,2019-06-18 11:02:21.701681,2019-06-18 11:02:21.701681
15,profile_pic,Profile Pic,5,2019-06-18 11:02:21.710674,2019-06-18 11:02:21.710674
